adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.06510339303615052,0.026679025023572223,0.1029015721129769,0.029962189906770003
oracle,0.06493464110656769,0.026580178466103603,0.1029014824365753,0.029710228113941733
lmm,0.053658783539444005,-1.0,0.1826720112345788,-1.0
PCA,-1.0,0.0265760148329626,-1.0,0.029695516077750932
PPCA,0.06239525759116052,0.02636448204145087,0.1028998205320263,0.029276555647802713
PF,0.06119697693344886,0.02493881996831643,0.10289850650886555,0.029438956021713494
LFA,0.06508980465238645,0.019224015999638643,0.10290159089379723,0.02784762845001358
GMM,0.06510339303615052,0.026679025023572223,0.1029015721129769,0.029962189906769996
DEF,0.14594811689670287,0.013177512045067175,0.10298640489871323,0.02603996203533074
