adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,1.7090741351753667,0.09595080444827334,0.45547455232421563,0.12614499591638384
oracle,1.6924048370114813,0.09560143331115968,0.45541454447405433,0.12527971441854627
lmm,0.23113327405307016,-1.0,0.4767278473252438,-1.0
PCA,-1.0,0.09557648991871047,-1.0,0.12521592995672828
PPCA,1.6094492740302964,0.09455768610421135,0.455091515627509,0.12334746078412438
PF,1.5308471292114247,0.0905685853920844,0.4547889557224088,0.12465643696027467
LFA,1.6553638210231145,0.07303973507690639,0.45530655542131443,0.1197847676321219
GMM,1.7080752441113374,0.09595040800950666,0.45547281678854135,0.12614399936164103
DEF,2.598432832584021,0.05817454406531571,0.4549416092306994,0.11561808972546013
