adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,1.4938745467896348,0.09755016145309074,0.44054498002316345,0.12364766115280414
oracle,1.4491297418552391,0.09713659002431664,0.4403968732833921,0.12258830641391966
lmm,0.22512744285177697,-1.0,0.464830109153387,-1.0
PCA,-1.0,0.09713535944977902,-1.0,0.12258857440893482
PPCA,1.5070932720712955,0.09653901121344115,0.44061868691594114,0.12138885767490656
PF,1.4904778175017026,0.0768364176613129,0.4405571442260866,0.11776314156577096
LFA,1.4489676530847078,0.07244219431080363,0.44044575998019303,0.11648686252316764
GMM,1.4929895000813087,0.09753944948862975,0.4405437949969396,0.1236188695300715
DEF,2.335059389413499,0.05615926375652438,0.44074990900590594,0.11185677528922378
