adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,1.6620608391971519,0.06691859490766752,0.4697696244910789,0.12114248103181786
oracle,1.576095328350446,0.06689711932533675,0.4694585218517974,0.12108615781072317
lmm,0.23840107400223545,-1.0,0.49181142955366924,-1.0
PCA,-1.0,0.0668902701886734,-1.0,0.12107113470906038
PPCA,1.5879178309065032,0.06684668887052692,0.46954749965361436,0.12098851717595663
PF,1.512263422437644,0.06617770452152617,0.46930230466162853,0.12091632217665178
LFA,1.61465359303411,0.06341529022743944,0.4696595327168197,0.12011496741113882
GMM,1.66126712981404,0.06691855438112035,0.4697657171406346,0.1211424224639413
DEF,2.398153251331195,0.05960931933257164,0.4700253287908771,0.11901181484037422
