adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.05342382032839006,0.3466611989226276,0.10264265425860089,0.11216623923228379
oracle,0.05331507082384871,0.3059780557417341,0.10264243982714287,0.0817532349915525
lmm,0.05337345256926592,-1.0,0.18100069061251003,-1.0
PCA,-1.0,0.28489065483672715,-1.0,0.04675819654187403
PPCA,0.05265899640823386,0.2069121549057761,0.10264153314740083,0.04674302422534279
PF,0.05231178497442305,0.30190305485900526,0.1026411020192938,0.10072653361808012
LFA,0.05342022715806659,0.14662907888299742,0.10264270182452728,0.0613001504084588
GMM,0.05342379132843246,0.34405556656773456,0.10264265530769012,0.10938501918566712
DEF,0.08221489288010922,0.017598036200203736,0.10273139533451008,0.027220677702476964
