adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.065058329221057,0.047662057221964295,0.10354217750282886,0.036411649927072305
oracle,0.06502079134969516,0.04735675316762587,0.10354214777922603,0.03560511405461908
lmm,0.054102811387389815,-1.0,0.18096821935984075,-1.0
PCA,-1.0,0.0473256743411117,-1.0,0.03552376790118244
PPCA,0.06246479261147969,0.04660949282406593,0.10354141612014472,0.034090800555168235
PF,0.06119065962212953,0.043033949479532874,0.10354041257390816,0.03505997479082661
LFA,0.06504380453921814,0.026853551348400156,0.10354219937918915,0.030270115379385835
GMM,0.06505803451411447,0.04765252940240865,0.10354217792047266,0.036388203337612196
DEF,0.14652963686441473,0.013309290407230036,0.1036224960195421,0.026211356434125508
