adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.06152251872250813,0.08057029525204068,0.10153019484516443,0.04515793051609614
oracle,0.06150515461096448,0.07989231153422922,0.10153018274930625,0.04342226820468889
lmm,0.056819032322905354,-1.0,0.1822887451899365,-1.0
PCA,-1.0,0.0798846199202766,-1.0,0.04340948736376295
PPCA,0.060989906714848954,0.07840454842489632,0.10153013764438547,0.04061612236939849
PF,0.061064206358611366,0.0432304874350601,0.10153003779418761,0.034568310840507425
LFA,0.06150058404123063,0.040308426773480045,0.10153021853158008,0.033614565400437266
GMM,0.06152166214549742,0.08053361589202024,0.1015301970437714,0.04505962742492302
DEF,0.15336320360407313,0.013256367541192842,0.10162622930335437,0.025745132115940487
