adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.0611325876096379,0.038296988405428924,0.10011513745022173,0.03204995779839978
oracle,0.06098967957900169,0.03813670415280263,0.10011507013992124,0.03171432054360024
lmm,0.056111344093727665,-1.0,0.18414320777158263,-1.0
PCA,-1.0,0.03804820876521012,-1.0,0.03146907099913484
PPCA,0.060616447007965306,0.03763077860822842,0.10011554228446334,0.030731008697598
PF,0.060684630898442594,0.02502064375596383,0.10011492378484715,0.028593188632535002
LFA,0.06111136329457669,0.022273526811946723,0.10011516584421967,0.027993097295508584
GMM,-1.0,-1.0,-1.0,-1.0
DEF,0.1533292500974845,0.012978879157480696,0.10023430546807495,0.025382139529016867
