adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.050819151403638324,0.41591484248737404,0.09948340657584086,0.13448626072861422
oracle,0.05073384834700859,0.39374975419370356,0.09948328343528075,0.12181719612139362
lmm,0.05411686789582891,-1.0,0.18400498453750133,-1.0
PCA,-1.0,0.3377940271726082,-1.0,0.043992940014487183
PPCA,0.05073890801884452,0.26535789648455604,0.09948387523938378,0.04401013969754893
PF,0.05071967418595987,0.21715009078461955,0.09948340947157447,0.08137566556220777
LFA,0.05081579824679245,0.16388274646654707,0.09948346745449743,0.06524394211964836
GMM,-1.0,-1.0,-1.0,-1.0
DEF,0.08195044928826135,0.016781297633291108,0.09958784669982022,0.026326148030013513
