adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.0657293725331881,0.027624774047229406,0.1021638297504589,0.02974055480934311
oracle,0.06550710495734424,0.027562477273245397,0.10216371828167778,0.029569677115574615
lmm,0.05348157029146785,-1.0,0.1810811828706081,-1.0
PCA,-1.0,0.027507733372376667,-1.0,0.029472334331387566
PPCA,0.062435565650158634,0.027219753353900943,0.10216271754989259,0.028983005428035488
PF,0.06154163124610737,0.02594989985087191,0.10216252405200944,0.029298980191155444
LFA,0.06571349691640647,0.01931379951929831,0.1021638496981903,0.027564937679801907
GMM,0.06572937253318811,0.02762477404722941,0.1021638297504589,0.02974055480934311
DEF,0.15618221756210046,0.013027669229235641,0.10226403576024451,0.025836883549770116
