adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.05096235989482569,0.49296141483714945,0.1007817579089538,0.15654878462303862
oracle,0.050915032145741904,0.40345000147813487,0.10078167593384325,0.06212129163224527
lmm,0.057896001924989116,-1.0,0.1846601481158735,-1.0
PCA,-1.0,0.3973584217776794,-1.0,0.04315261094805151
PPCA,0.05105085526915147,0.35598319280804835,0.10078292455689249,0.04319501426498457
PF,0.05100802064694405,0.20468580483459975,0.10078216522415213,0.07844341116333835
LFA,0.05096075585123577,0.1771448966871945,0.10078180829554045,0.07244177870569035
GMM,0.05096232752749366,0.4928685721674722,0.10078175852588742,0.15646406931814386
DEF,0.07889183183617736,0.01583208779957987,0.10086166933521983,0.02638165226433625
