adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.058956911993969706,0.04490492490303348,0.09929985490106359,0.033860085808401455
oracle,0.058874784675111154,0.04460399160446638,0.0992998142664194,0.033123011307817904
lmm,0.05598181259813926,-1.0,0.18452167949654683,-1.0
PCA,-1.0,0.04458177562886222,-1.0,0.03307166522449941
PPCA,0.058943554664436466,0.044351375097830145,0.09930065850704306,0.032617336721010186
PF,0.05890862681548322,0.025925866763336965,0.09929989985829345,0.02871580613027136
LFA,0.05894451912305754,0.024124556169152277,0.09929987597930802,0.02836454510056463
GMM,0.058956751853278665,0.04490463572059265,0.09929985534146325,0.03385947669652958
DEF,0.1431345079151384,0.012780602108031025,0.09938729746877192,0.025129864619884194
