adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.5128263703831972,0.5589650304714762,0.4390889066237401,0.2529897208273582
oracle,0.39405341191401727,0.47360636354978813,0.4386372734393262,0.16372492589688356
lmm,0.23117013881292942,-1.0,0.4679743108663657,-1.0
PCA,-1.0,0.4578049348386672,-1.0,0.12865745203904524
PPCA,0.5363675381401013,0.41781941123530797,0.4392371340130683,0.12864683775662306
PF,0.5157044395407223,0.2832388978476461,0.4391176455299505,0.17701738154586127
LFA,0.499648794351484,0.2299593306041055,0.4390840406177719,0.16223082176141065
GMM,0.5126058861244371,0.5524841402262287,0.43908908323889095,0.24500292373668028
DEF,0.8578857287426385,0.05973450284743009,0.44189624255434823,0.11350491446546107
