adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.5865385863377829,0.15694204657053315,0.46282225690097256,0.14648394989469365
oracle,0.45194268130393966,0.150142191093589,0.4623229525880142,0.14064411451593553
lmm,0.23976302075904712,-1.0,0.4908952345853589,-1.0
PCA,-1.0,0.144024389235757,-1.0,0.13714998451828564
PPCA,0.5777244348158542,0.13251347315381248,0.4627305800919008,0.13721589247572402
PF,0.5436415269464269,0.14461129637261588,0.4625161253522845,0.14319102843654605
LFA,0.5701559607580154,0.10504255285218354,0.4627789051432276,0.13218312139909746
GMM,0.586315659692882,0.1569348039886335,0.4628265548203662,0.14648382684317604
DEF,0.9278660906224225,0.06050737864901652,0.4661977150182414,0.11893216757751389
