adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,1.672344692146925,0.07331474333325534,0.45931689593078334,0.12064684088438517
oracle,1.5876492224786234,0.07324167903788123,0.45903260872430773,0.12046899929515818
lmm,0.23299884900512263,-1.0,0.48175064072386165,-1.0
PCA,-1.0,0.07318917605236404,-1.0,0.1203500365891636
PPCA,1.615092199408207,0.07296960928062031,0.4591377085874383,0.11995496539876696
PF,1.5599490239012948,0.07144576861455308,0.4589695576770969,0.12015985332157475
LFA,1.6284477467158647,0.06494722627892256,0.4591907536422755,0.11838735152772216
GMM,1.6710439622983426,0.07330958793954273,0.459320719454499,0.12063425024483786
DEF,2.51145283581143,0.05842143118099284,0.45961132430821927,0.11659096425138149
