adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.5210938943565439,0.33504726636025645,0.43918592051207406,0.18969927844571557
oracle,0.3800793728263402,0.30055993997120345,0.4386849038705795,0.15524463474239913
lmm,0.2310444581773665,-1.0,0.46862923921897903,-1.0
PCA,-1.0,0.27982934050028063,-1.0,0.1292719432835294
PPCA,0.5402577534893779,0.25452902770457303,0.43935250157673145,0.12923483444582623
PF,0.5232930127742255,0.18149493353382173,0.43920928495438155,0.1482386285703429
LFA,0.5059300765234548,0.1776430759528768,0.43914215544653534,0.14749548669873452
GMM,0.5209268582194023,0.3328248567859321,0.4391848702348137,0.18674891426442972
DEF,0.8224950842136043,0.05805601745381488,0.44242470438891085,0.11309168445959861
