adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.05413104958771539,0.2238968650258001,0.10501299925049837,0.0829666343929192
oracle,0.054054724609031914,0.18959429644836912,0.10501288979931732,0.050273613823459254
lmm,0.05492317229425077,-1.0,0.18297878216591645,-1.0
PCA,-1.0,0.18612644575929088,-1.0,0.046338121282749924
PPCA,0.053590598858730985,0.15865314777334166,0.10501304054917937,0.04632761215231638
PF,0.05321628744649803,0.19676841083254024,0.10501208503599403,0.07585137598753258
LFA,0.05412843489811991,0.09686248038699007,0.1050130465696116,0.049682947593256616
GMM,0.05413104958771539,0.2238968650258001,0.10501299925049837,0.0829666343929192
DEF,0.08240765559613733,0.015936767119674566,0.10508651357678368,0.02732207260455224
