adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.5974999491097216,0.6362691832446148,0.4273791398591311,0.2691115448686274
oracle,0.4147770704544508,0.570545042509244,0.42662669032766287,0.20178088924353996
lmm,0.22443550413680216,-1.0,0.4558806461544765,-1.0
PCA,-1.0,0.5215951057318232,-1.0,0.12645124042273012
PPCA,0.61911414371347,0.39545602138932096,0.42757955710727563,0.1264000335940602
PF,0.593625053102049,0.3509209027832659,0.4273649993232854,0.1934165522400306
LFA,0.581943267962242,0.2834529150155109,0.4273209971718917,0.17434273283835583
GMM,0.5973087707110064,0.6327030003144706,0.42737847848153143,0.26494516772423315
DEF,0.9491198047898588,0.05864133351715618,0.42984402113678555,0.11036168926067566
