adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.05375372952579628,0.23614392265948791,0.10381567707195292,0.084501294439818
oracle,0.053656035809980705,0.20452344228004693,0.10381552178647777,0.05749458765707546
lmm,0.05440824314151646,-1.0,0.18293646522145096,-1.0
PCA,-1.0,0.1962488096918316,-1.0,0.046478938081715195
PPCA,0.053122362107237794,0.15027019456824495,0.10381579159838082,0.04646833911697581
PF,0.052758318376979974,0.20775429281832591,0.10381479019408352,0.07759506080122548
LFA,0.0537512031101003,0.10435565648422385,0.10381572089164143,0.05096614952372124
GMM,0.05375372952579628,0.23614392265948791,0.10381567707195292,0.084501294439818
DEF,0.08246751824626336,0.01527721531658457,0.10390049643323594,0.026851201547544577
