adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,1.6628636905334957,0.07459690398722782,0.4631245270621191,0.12163784425665386
oracle,1.5893810021998653,0.07446952392114811,0.4629110039171951,0.12132871590083262
lmm,0.23515461802987825,-1.0,0.4851045566189372,-1.0
PCA,-1.0,0.07446033877108255,-1.0,0.12131317971882559
PPCA,1.5946142088114457,0.07426058257573125,0.46289980900237493,0.12093842126691479
PF,1.520959539263749,0.0725521323708782,0.4626453741309902,0.12108750629319129
LFA,1.6122133520561275,0.06550742344893874,0.4629805941827073,0.11917979683004382
GMM,1.6623078480158917,0.07459661313593882,0.4631253812771494,0.12163726359138838
DEF,2.4257506630189667,0.05903245288553311,0.4626805882049015,0.11740205306658881
