adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,1.757874316966789,0.08270184098180434,0.45635531547165614,0.12245769597360763
oracle,1.6797007601073202,0.08250266863196767,0.45605829427850686,0.12196375369285599
lmm,0.23123123276873617,-1.0,0.4781067589259078,-1.0
PCA,-1.0,0.08246677362381645,-1.0,0.12187728812775585
PPCA,1.6513925389442863,0.08208185250181628,0.45606727773861877,0.12114539410234461
PF,1.582626607217649,0.07944049818617792,0.45574815487016485,0.12154305493804557
LFA,1.7055985598465375,0.06817230840460846,0.45620200740000044,0.1184255668697563
GMM,1.7572699853510492,0.08270151285997822,0.456354581528096,0.12245700625301287
DEF,2.554084550961593,0.058552532074408276,0.45547038962839503,0.11573114393460057
