adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.05574949849253066,0.16289615695458912,0.10719469771441753,0.06858597231785069
oracle,0.05561639094883086,0.15050150624458541,0.10719436941650658,0.0656805008407657
lmm,0.05556512539671387,-1.0,0.18642683133546956,-1.0
PCA,-1.0,0.13966550376255932,-1.0,0.04836462811457825
PPCA,0.054891265256209125,0.11089925292016985,0.10719256369514986,0.04836444397207453
PF,0.054627977671804405,0.1457790665611516,0.10719139874221255,0.06371418465685813
LFA,0.05574488956574641,0.07788871089758104,0.10719473612730447,0.045863162598829825
GMM,0.05574949849253066,0.16289615695458914,0.10719469771441753,0.06858597231785067
DEF,0.08877180727441554,0.014782546824270826,0.10729251967866325,0.02751792557119062
