adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.06536457234589328,0.03544834461166453,0.10127808727330806,0.03177675748672763
oracle,0.06518697340756338,0.03528631258136078,0.10127798133259663,0.03138822287635431
lmm,0.05299946820416738,-1.0,0.18059367280448668,-1.0
PCA,-1.0,0.0352412921023931,-1.0,0.03127945771245875
PPCA,0.06239462133340938,0.03473094031327849,0.10127676704989975,0.03036595705751657
PF,0.061194556168829045,0.03243716331082555,0.10127613957932985,0.030969515908605208
LFA,0.06534911912428407,0.022295560552549852,0.10127811026972224,0.028181614316107707
GMM,0.06536425603373046,0.03543835812528323,0.10127808793878663,0.03175195627640773
DEF,0.1480351855449054,0.013148134045167969,0.10136541670753584,0.025669240913057948
