adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.5759517207455571,0.2918995614492229,0.4601569610273038,0.18124554245788352
oracle,0.4594427438040952,0.25384571932392075,0.45976451043464656,0.14627586646376733
lmm,0.2386989539965817,-1.0,0.4884874709306677,-1.0
PCA,-1.0,0.24759189462184486,-1.0,0.13579961655714018
PPCA,0.5752122290560454,0.20788695211147615,0.46015646511566793,0.13566889144352137
PF,0.5310883888497587,0.26026913089329357,0.4598980389238875,0.1728889193946809
LFA,0.5545748075229043,0.15270908651167145,0.46011015999556576,0.14420995397603506
GMM,0.5758381593261922,0.29181861034765477,0.4601568616154756,0.18115972019069132
DEF,0.8646949384041933,0.06350940376114415,0.4623513067583257,0.11915910962200602
