adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.04867797016467088,1.176396075694153,0.09618379869405232,0.30943438532144246
oracle,0.04866639592167466,0.9607379795312152,0.0961837836561636,0.06766314882005767
lmm,0.054734220577581635,-1.0,0.17811173057580937,-1.0
PCA,-1.0,0.9509649394227788,-1.0,0.04166923407204261
PPCA,0.048741778478393734,0.6931116588266071,0.09618450464969441,0.04184645317588948
PF,0.048670538165018304,0.5346857883907569,0.09618390550773452,0.15331485776450507
LFA,0.0486749891919667,0.48474310306104995,0.09618385660620864,0.1387117744481855
GMM,0.0486778280242899,1.164389886806358,0.09618379824006514,0.2972616391054171
DEF,0.07573008623557458,0.01912719280914173,0.09626838932160564,0.026079152884848703
