adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.05037979724952109,0.46091618473643414,0.09944923900742587,0.15652243578751796
oracle,0.05033458663214292,0.367785070308441,0.0994491487973954,0.07490566124358852
lmm,0.05659293440593344,-1.0,0.18229899309622216,-1.0
PCA,-1.0,0.3731181417476588,-1.0,0.04342524583385371
PPCA,0.050390830271333856,0.3326651371049091,0.0994502471238037,0.043416026358339535
PF,0.050352419538431226,0.20307372097584753,0.09944948392011944,0.0817594292561109
LFA,0.05037775454161773,0.16874803342306519,0.0994492955480068,0.07111166752568719
GMM,0.05037968320433602,0.45928743910132336,0.09944924064573198,0.1540300169797229
DEF,0.0793174742426945,0.014836115105867053,0.0995472365566279,0.02582460181512371
