adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.5152422089482741,0.65471958282125,0.44737063854115,0.27012379325932734
oracle,0.4887161738056343,0.5499445784816537,0.4472724612266082,0.1664079586996209
lmm,-1.0,-1.0,-1.0,-1.0
PCA,-1.0,0.5361515120562331,-1.0,0.13043045708870651
PPCA,0.5259891347877177,0.3718587189157752,0.4472669612865534,0.13036971607516754
PF,0.4619989691845694,0.5678643324067446,0.44697034996903257,0.24806214192793757
LFA,0.5012596979190763,0.28737882387276326,0.44731974648895106,0.17611767391776273
GMM,0.5149288766011387,0.6545963826265317,0.4473669303207301,0.27001293572234025
DEF,0.8219293760893494,0.06303461635060353,0.44995433418270603,0.11610409948639414
