adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.06529341892720361,0.027330221195414495,0.10514243466997744,0.03053388260352143
oracle,0.06516720000166185,0.027221925008775925,0.10514235867057105,0.03026993723128344
lmm,0.05497009699031451,-1.0,0.18325226968824623,-1.0
PCA,-1.0,0.02721990184582975,-1.0,0.030259577361093727
PPCA,0.06295565384848971,0.02709353775790498,0.10514204942084689,0.03000432605422344
PF,0.061740986064141246,0.025702308783912654,0.10514112863729982,0.03009562166209707
LFA,0.06528158241735935,0.019414669468755908,0.10514245521575008,0.028302221059338356
GMM,0.06529341892720361,0.027330221195414495,0.10514243466997744,0.03053388260352143
DEF,0.1465017841180116,0.013517226393720974,0.10522448119232466,0.02664119892223437
