adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.4836048017297866,0.7503312826400175,0.42370078308681686,0.29203931943954964
oracle,0.41091592048673503,0.6331343893467402,0.4234691725128971,0.17631839871335708
lmm,0.22395706287696182,-1.0,0.4530616398788149,-1.0
PCA,-1.0,0.6113293459621572,-1.0,0.12446535558971351
PPCA,0.518815877363461,0.4939805406919143,0.42389584758844306,0.1245166063364039
PF,0.49198831058398695,0.39180260897863034,0.4237536665759798,0.19968613249750142
LFA,0.47164994271817945,0.31962664442304445,0.42367906346224565,0.1799099382275008
GMM,0.48336445718280246,0.747077539638526,0.42369744249608315,0.28839701393501727
DEF,0.7810495428047746,0.058149267749628454,0.42663876342486495,0.10959839130824361
