adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,1.454914036015231,0.08505917294498153,0.43200104210543955,0.11805104186350811
oracle,1.3806667864188487,0.08477805204348594,0.43172262465535627,0.11734206935729792
lmm,0.22089961677847295,-1.0,0.45687836471476745,-1.0
PCA,-1.0,0.0847621065602001,-1.0,0.11730197843047967
PPCA,1.4648384927934655,0.08456605666167022,0.4321008266604827,0.11690236662113439
PF,1.4500050678846157,0.06978202216995148,0.43199578669834443,0.11378178032695326
LFA,1.4115588970276676,0.06565820834504797,0.4318962589614269,0.11256849613272385
GMM,1.4539976581917577,0.08504014230474027,0.432000335616525,0.11800239458569131
DEF,2.289404346336225,0.05503526747747592,0.43214905970206124,0.10961445423915445
