adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.05908945095229964,0.05253341096702274,0.09759643431419429,0.03592091444743517
oracle,0.05901300230799299,0.05214225962974081,0.09759638191228395,0.03491566734416752
lmm,0.05531250426498827,-1.0,0.18355844575877664,-1.0
PCA,-1.0,0.05213110761050421,-1.0,0.03491447048397352
PPCA,0.05892994521704518,0.05181404890903173,0.09759691436465565,0.034297320801334776
PF,0.05888276849002391,0.029098260629826327,0.09759657635977764,0.02944902525592513
LFA,0.059073247525826454,0.02704802684601937,0.09759645800258976,0.028809451087289373
GMM,0.059088962798829664,0.05252644388105123,0.0975964337239936,0.03590441268235632
DEF,0.14938363637438828,0.012561044218515543,0.09769487998133643,0.02472762522325163
