adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,1.4326734662332135,0.07277794867172736,0.4418772593912274,0.11694423783128118
oracle,1.3385224813702699,0.07265064914746805,0.44158621047658697,0.116615013579582
lmm,0.22591566586605058,-1.0,0.46692777462258284,-1.0
PCA,-1.0,0.07262487573741286,-1.0,0.11656069199927264
PPCA,1.442771556938159,0.07251128468684208,0.4419575435858684,0.11633248199336046
PF,1.429168410895515,0.06477667467543319,0.44187713118768907,0.11475385487974034
LFA,1.3907336065225377,0.06382953267150283,0.44179841599969677,0.114483984481064
GMM,1.4317894058952871,0.07277126706790096,0.4418765150107915,0.11692652158393385
DEF,2.198600677907996,0.05627257043098784,0.44260355775300014,0.11230159871332919
