adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.6087686185768727,0.44580745352460205,0.4486964389901417,0.21657982895209418
oracle,0.4803530325366777,0.3937193426164306,0.44819448500470677,0.17042198889005727
lmm,0.23245346414982757,-1.0,0.47666745176629477,-1.0
PCA,-1.0,0.3699682255974737,-1.0,0.13337917427834875
PPCA,0.5908736021006754,0.2990831207806593,0.4485037868294569,0.13332716093290464
PF,0.5532734648722135,0.3938802572343547,0.44830577947183675,0.2034785460671195
LFA,0.5881431310936327,0.21212381675176242,0.4486219697123095,0.15658347554581997
GMM,0.6085740238657467,0.4456122351246612,0.44869931013340725,0.2164401462629601
DEF,0.9142103051027617,0.06839328219067943,0.4498560524440217,0.11791853572247213
