adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.05184097496448463,0.5350868701415983,0.10106708622547299,0.16498223251696637
oracle,0.05181699717238248,0.44723178080604487,0.10106705333443503,0.07774042492153439
lmm,-1.0,-1.0,-1.0,-1.0
PCA,-1.0,0.4347111482083661,-1.0,0.044862145239729034
PPCA,0.051362282484148196,0.3193713249862509,0.10106695820474217,0.044814515411046994
PF,0.050970260656868965,0.46518706583141295,0.10106608440020019,0.1462295668298366
LFA,0.05183848360100247,0.21527333943152357,0.10106714242459806,0.08014779802163367
GMM,0.05184092709367438,0.5321041122644341,0.1010670874303582,0.16228600907653676
DEF,0.07769638046296287,0.015748201621989453,0.101143474947265,0.026415657660303918
