adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,1.6630532601970307,0.09106415546512496,0.42783027576323845,0.11902868167695965
oracle,1.5447388427667104,0.09075789795971813,0.4273849920974285,0.11823970492516564
lmm,0.2182173066526129,-1.0,0.4521104652808321,-1.0
PCA,-1.0,0.0907034084699483,-1.0,0.11811496098127419
PPCA,1.6702585497769369,0.0899837544390095,0.427855691062271,0.1167430016080929
PF,1.6512736668380321,0.0747969393042176,0.4277988780319626,0.11439301391351789
LFA,1.6128901696060718,0.06959856356089535,0.42768501480153637,0.11292982020927404
GMM,1.662273565257765,0.09105291686393029,0.42783060106260573,0.1189995799180635
DEF,2.5891103379010785,0.05461260607488492,0.42766177769072206,0.10869843825106094
