adjustments,linear_rmse,linear_rmse_sing,logistic_rmse,logistic_rmse_sing
none,0.5878526658706092,0.3194861610421229,0.4489884317495466,0.18162381127915986
oracle,0.4539085692638647,0.2996867178000224,0.44850740240319603,0.16314084057269387
lmm,0.23268256576383883,-1.0,0.4776271451731509,-1.0
PCA,-1.0,0.26980233435688183,-1.0,0.13367909156640162
PPCA,0.5868464754945905,0.2204704068754064,0.44906081255304925,0.13353384107803942
PF,0.5530964465369924,0.28476476670436907,0.44879271557080236,0.17313167413257297
LFA,0.5737604317938304,0.16447279109181082,0.44896005898219665,0.14317464775565342
GMM,0.5877360050240165,0.3175209426840802,0.4489848530076007,0.17986709207494259
DEF,0.9135297322493756,0.05922940122830075,0.45208874684941525,0.11548318180706714
