,movie_id,genre_id,genre,new_genre_id,new_movie_id
5071,9344,80,Crime,4,587
5072,9344,18,Drama,5,587
5073,100,80,Crime,4,51
5074,100,35,Comedy,10,51
5075,176,80,Crime,4,542
5076,176,27,Horror,12,542
5077,176,9648,Mystery,13,542
5078,39939,80,Crime,4,2572
5079,39939,35,Comedy,10,2572
5080,39939,9648,Mystery,13,2572
5081,500,80,Crime,4,263
5082,500,53,Thriller,6,263
5083,103,80,Crime,4,53
5084,103,18,Drama,5,53
5085,654,80,Crime,4,350
5086,654,18,Drama,5,350
5087,12281,80,Crime,4,1796
5088,12281,18,Drama,5,1796
5089,597,18,Drama,5,311
5090,597,53,Thriller,6,311
5091,597,10749,Romance,11,311
5092,64682,18,Drama,5,2619
5093,64682,10749,Romance,11,2619
5094,17979,18,Drama,5,2655
5095,17979,16,Animation,7,2655
5096,150540,18,Drama,5,1474
5097,150540,16,Animation,7,1474
5098,150540,10751,Family,8,1474
5099,150540,35,Comedy,10,1474
5100,6972,18,Drama,5,2522
5101,2133,18,Drama,5,1108
5102,42888,18,Drama,5,1573
5103,42888,35,Comedy,10,1573
5104,42888,10749,Romance,11,1573
5105,2567,18,Drama,5,1286
5106,8489,18,Drama,5,167
5107,68718,18,Drama,5,1509
5108,68718,37,Western,9,1509
5109,10545,18,Drama,5,1199
5110,10545,16,Animation,7,1199
5111,10545,10751,Family,8,1199
5112,76758,18,Drama,5,1453
5113,76758,36,History,14,1453
5114,76758,10752,War,15,1453
5115,37786,18,Drama,5,2053
5116,37786,35,Comedy,10,2053
5117,37786,10749,Romance,11,2053
5118,2655,18,Drama,5,1320
5119,2655,53,Thriller,6,1320
5120,2655,27,Horror,12,1320
5121,2655,9648,Mystery,13,1320
5122,271969,18,Drama,5,834
5123,2253,18,Drama,5,1158
5124,2253,53,Thriller,6,1158
5125,2253,36,History,14,1158
5126,2253,10752,War,15,1158
5127,8665,18,Drama,5,250
5128,8665,53,Thriller,6,250
5129,8665,36,History,14,250
5130,921,18,Drama,5,504
5131,921,10749,Romance,11,504
5132,921,36,History,14,504
5133,4464,18,Drama,5,1895
5134,4464,36,History,14,1895
5135,1904,18,Drama,5,2776
5136,1904,10749,Romance,11,2776
5137,1904,36,History,14,2776
5138,9291,18,Drama,5,564
5139,9291,35,Comedy,10,564
5140,6964,18,Drama,5,2519
5141,6964,35,Comedy,10,2519
5142,6964,10749,Romance,11,2519
5143,11324,18,Drama,5,1494
5144,11324,53,Thriller,6,1494
5145,11324,9648,Mystery,13,1494
5146,12193,18,Drama,5,1771
5147,12193,35,Comedy,10,1771
5148,12193,10749,Romance,11,1771
5149,2289,18,Drama,5,1175
5150,14462,18,Drama,5,2353
5151,14462,53,Thriller,6,2353
5152,14462,9648,Mystery,13,2353
5153,11973,18,Drama,5,1689
5154,11973,53,Thriller,6,1689
5155,10197,18,Drama,5,1706
5156,10197,10749,Romance,11,1706
5157,10197,10402,Music,16,1706
5158,453,18,Drama,5,1339
5159,453,10749,Romance,11,1339
5160,8587,18,Drama,5,214
5161,8587,16,Animation,7,214
5162,8587,10751,Family,8,214
5163,594,18,Drama,5,309
5164,594,35,Comedy,10,309
5165,6538,18,Drama,5,2419
5166,6538,35,Comedy,10,2419
5167,6538,36,History,14,2419
5168,1125,18,Drama,5,576
5169,20829,18,Drama,5,1892
5170,20829,35,Comedy,10,1892
5171,25,18,Drama,5,12
5172,25,10752,War,15,12
5173,11086,18,Drama,5,1389
5174,11086,10749,Romance,11,1389
5175,6947,18,Drama,5,2514
5176,6947,53,Thriller,6,2514
5177,6947,9648,Mystery,13,2514
5178,57212,18,Drama,5,2792
5179,57212,10752,War,15,2792
5180,44564,18,Drama,5,2099
5181,44564,35,Comedy,10,2099
5182,80585,18,Drama,5,2490
5183,80585,35,Comedy,10,2490
5184,80585,10749,Romance,11,2490
5185,80585,10402,Music,16,2490
5186,10592,18,Drama,5,1221
5187,10592,10752,War,15,1221
5188,9008,18,Drama,5,453
5189,9008,53,Thriller,6,453
5190,1844,18,Drama,5,947
5191,1844,10749,Romance,11,947
5192,1844,9648,Mystery,13,947
5193,857,18,Drama,5,474
5194,857,36,History,14,474
5195,857,10752,War,15,474
5196,72976,18,Drama,5,2645
5197,72976,36,History,14,2645
5198,568,18,Drama,5,296
5199,82695,18,Drama,5,425
5200,82695,10749,Romance,11,425
5201,82695,10402,Music,16,425
5202,41733,18,Drama,5,2813
5203,41733,35,Comedy,10,2813
5204,227306,18,Drama,5,2319
5205,227306,10752,War,15,2319
5206,1852,18,Drama,5,950
5207,1852,53,Thriller,6,950
5208,1852,36,History,14,950
5209,345,18,Drama,5,188
5210,345,9648,Mystery,13,188
5211,196867,18,Drama,5,148
5212,196867,10751,Family,8,148
5213,196867,35,Comedy,10,148
5214,550,18,Drama,5,287
5215,11170,18,Drama,5,1428
5216,12618,18,Drama,5,1887
5217,12618,10749,Romance,11,1887
5218,9087,18,Drama,5,2135
5219,9087,35,Comedy,10,2135
5220,9087,10749,Romance,11,2135
5221,210577,18,Drama,5,2235
5222,210577,53,Thriller,6,2235
5223,210577,9648,Mystery,13,2235
5224,37165,18,Drama,5,924
5225,37165,35,Comedy,10,924
5226,38167,18,Drama,5,2142
5227,9563,18,Drama,5,698
5228,547,18,Drama,5,285
5229,547,10749,Romance,11,285
5230,9422,18,Drama,5,2634
5231,274479,18,Drama,5,1811
5232,274479,35,Comedy,10,1811
5233,22954,18,Drama,5,2433
5234,22954,36,History,14,2433
5235,17332,18,Drama,5,513
5236,786,18,Drama,5,1970
5237,786,10402,Music,16,1970
5238,10052,18,Drama,5,954
5239,9676,18,Drama,5,755
5240,9009,18,Drama,5,2015
5241,9009,53,Thriller,6,2015
5242,9009,27,Horror,12,2015
5243,4942,18,Drama,5,2065
5244,4942,35,Comedy,10,2065
